$ Bathymetry:  Bonneville.  Original provided by WEST consultants via David Gade.  Adjusted to NAVD88 Datum provided by Res-Ops team. ELWS => fill from NAVD88 TDA TWelev [24.84m] to NAVD88  BON FBelev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,0,441.44,344.758,608.568,488.572,909.268,729.09,600.665,808.439,893.277,767.005,1046.935,1274.193,1499.062,859.773,1152.228,1368.064,1049.692,1169.846,893.146,956.059,1316.021,921.793,801.665,1052.029,983.681,1074.69,1050.375,1261.38,507.687,511.284,568.315,683.375,1069.438,1147.318,1442.95,1254.763,812.798,863.58,707.821,901.706,1189.644,1099.555,1410.233,1191.246,255.616,613.478,1479.448,1372.842,1091.048,1403.196,1721.252,1222.624,1029.264,1082.094,1311.689,1325.947,1318.201,1471.518,1232.733,267.353,556.447,505.613,995.97,975.62,1241.372,1382.164,1213.696,1032.546,1208.891,1218.764,692.04,822.96,638.449,789.403,949.731,0,,23,37792859.92,331915513.6,269088.687,17.506,57.434,1,1.04
0.5,0,424.461,331.498,585.162,469.78,874.296,701.048,577.562,777.346,858.92,737.505,1006.669,1225.186,1441.406,826.704,1107.911,1315.446,1009.32,1124.852,858.794,919.287,1265.405,886.339,770.832,1011.567,945.847,1033.355,1009.976,1212.865,488.161,491.62,546.457,657.092,1028.306,1103.19,1387.452,1206.503,781.537,830.365,680.597,867.025,1143.889,1057.265,1355.993,1145.429,245.785,589.883,1422.546,1320.041,1049.085,1349.227,1655.05,1175.6,989.677,1040.475,1261.239,1274.949,1267.501,1414.921,1185.32,257.07,535.045,486.166,957.663,938.096,1193.627,1329.004,1167.016,992.833,1162.395,1171.888,665.423,791.307,613.893,759.041,913.202,0,,24,36339288.39,313019083.7,253769.079,17.006,55.793,1,1.04
0.5,0,408.136,318.748,562.655,451.712,840.669,674.084,555.348,747.448,825.885,709.139,967.951,1178.063,1385.967,794.908,1065.299,1264.852,970.5,1081.589,825.763,883.93,1216.736,852.249,741.184,972.66,909.469,993.611,971.131,1166.216,469.385,472.711,525.44,631.819,988.756,1060.76,1334.088,1160.099,751.478,798.428,654.42,833.678,1099.893,1016.601,1303.84,1101.374,236.331,567.195,1367.832,1269.27,1008.735,1297.334,1591.394,1130.384,951.613,1000.457,1212.73,1225.912,1218.751,1360.501,1139.731,247.183,514.467,467.467,920.83,902.016,1147.718,1277.888,1122.13,954.647,1117.688,1126.816,639.83,760.873,590.282,729.847,878.079,0,,25,34941623.45,294849439.5,239038.687,16.506,54.153,1,1.03
0.5,0,396.248,309.464,546.267,438.555,816.184,654.451,539.173,725.677,801.83,688.485,939.758,1143.751,1345.599,771.755,1034.271,1228.011,942.233,1050.086,801.712,858.184,1181.297,827.426,719.596,944.33,882.979,964.671,942.846,1132.249,455.714,458.943,510.135,613.416,959.957,1029.864,1295.231,1126.31,729.59,775.173,635.36,809.396,1067.857,986.991,1265.864,1069.295,229.448,550.675,1327.993,1232.301,979.354,1259.547,1545.043,1097.461,923.896,971.317,1177.408,1190.206,1183.253,1320.875,1106.535,239.983,499.482,453.852,894.01,875.744,1114.289,1240.668,1089.447,926.842,1085.134,1093.996,621.194,738.711,573.089,708.59,852.504,0,,26,33923906.26,277378627.7,224874.848,16.006,52.513,1,1.03
0.5,0,384.707,300.451,530.357,425.782,792.411,635.389,523.469,704.541,778.476,668.432,912.386,1110.438,1306.407,749.277,1004.147,1192.244,914.789,1019.501,778.361,833.189,1146.89,803.327,698.637,916.826,857.261,936.574,915.384,1099.271,442.441,445.576,495.277,595.55,931.997,999.868,1257.506,1093.504,708.34,752.595,616.854,785.821,1036.755,958.244,1228.994,1038.151,222.765,534.636,1289.313,1196.409,950.83,1222.861,1500.042,1065.496,896.986,943.027,1143.114,1155.54,1148.789,1282.403,1074.306,232.994,484.934,440.633,867.971,850.236,1081.834,1204.532,1057.716,899.847,1053.528,1062.132,603.101,717.195,556.397,687.951,827.674,0,,27,32935831.32,260416674.6,211123.549,15.506,50.872,1,1.03
0.5,0,373.502,291.7,514.909,413.38,769.331,616.883,508.222,684.02,755.802,648.963,885.812,1078.095,1268.356,727.454,974.9,1157.518,888.145,989.807,755.691,808.921,1113.486,779.929,678.289,890.122,832.293,909.295,888.722,1067.253,429.554,432.598,480.852,578.204,904.851,970.745,1220.88,1061.655,687.708,730.675,598.887,762.933,1006.558,930.334,1193.198,1007.913,216.277,519.064,1251.76,1161.562,923.136,1187.244,1456.351,1034.462,870.86,915.56,1109.82,1121.883,1115.33,1245.051,1043.015,226.207,470.81,427.799,842.69,825.472,1050.324,1169.449,1026.908,873.637,1022.843,1031.196,585.535,696.306,540.192,667.914,803.567,0,,28,31976535.26,243948759,197772.772,15.006,49.232,1,1.03
0.5,0,362.623,283.204,499.912,401.34,746.924,598.915,493.42,664.098,733.788,630.061,860.012,1046.694,1231.414,706.266,946.505,1123.804,862.276,960.978,733.68,785.36,1081.054,757.212,658.533,864.196,808.051,882.81,862.837,1036.168,417.043,419.998,466.846,561.363,878.497,942.471,1185.32,1030.733,667.678,709.393,581.444,740.712,977.241,903.237,1158.445,978.557,209.977,503.945,1215.301,1127.73,896.248,1152.664,1413.933,1004.332,845.495,888.893,1077.495,1089.207,1082.844,1208.787,1012.636,219.619,457.097,415.339,818.146,801.429,1019.732,1135.387,996.998,848.192,993.051,1001.161,568.481,676.025,524.458,648.46,780.162,0,,29,31045179.87,227960491.3,184810.853,14.506,47.591,1,1.03
0.5,0,352.061,274.955,485.351,389.651,725.169,581.471,479.048,644.755,712.416,611.71,834.963,1016.208,1195.547,685.695,918.936,1091.072,837.162,932.988,712.311,762.486,1049.567,735.158,639.352,839.025,784.516,857.097,837.706,1005.989,404.896,407.765,453.249,545.013,852.909,915.021,1150.796,1000.711,648.231,688.731,564.509,719.138,948.778,876.929,1124.704,950.055,203.861,489.267,1179.904,1094.883,870.144,1119.091,1372.751,975.08,820.869,863.003,1046.112,1057.483,1051.305,1173.58,983.142,213.222,443.783,403.241,794.316,778.087,990.031,1102.318,967.96,823.487,964.127,972.001,551.923,656.335,509.182,629.573,757.439,0,,30,30140951.33,212437901.4,172226.466,14.006,45.951,1,1.03
0.5,0,341.807,266.947,471.215,378.302,704.047,564.535,465.095,625.976,691.666,593.893,810.643,986.61,1160.725,665.723,892.171,1059.293,812.778,905.814,691.564,740.277,1018.997,713.745,620.73,814.588,761.666,832.133,813.307,976.688,393.103,395.888,440.047,529.138,828.067,888.369,1117.278,971.564,629.351,668.671,548.067,698.192,921.143,851.387,1091.945,922.383,197.924,475.017,1145.538,1062.994,844.8,1086.496,1332.768,946.679,796.961,837.867,1015.642,1026.682,1020.685,1139.398,954.507,207.012,430.858,391.497,771.181,755.424,961.196,1070.211,939.767,799.502,936.046,943.69,535.848,637.219,494.352,611.236,735.378,0,,31,29263059.54,197367425.7,160008.614,13.506,44.31,1,1.03
0.5,0,331.852,259.171,457.49,367.283,683.541,548.092,451.549,607.743,671.52,576.595,787.032,957.873,1126.918,646.333,866.186,1028.44,789.105,879.431,671.421,718.716,989.318,692.957,602.651,790.862,739.481,807.897,789.618,948.241,381.653,384.357,427.23,513.727,803.949,862.495,1084.736,943.266,611.02,649.195,532.104,677.856,894.314,826.589,1060.141,895.518,192.159,461.181,1112.173,1032.033,820.194,1054.851,1293.949,919.106,773.748,813.463,986.061,996.779,990.956,1106.212,926.705,200.982,418.308,380.094,748.719,733.421,933.2,1039.04,912.395,776.216,908.782,916.204,520.24,618.659,479.953,593.433,713.959,0,,32,28410737.42,182735896,148146.623,13.006,42.67,1,1.04
0.5,0,319.088,249.203,439.894,353.157,678.883,547.34,450.85,606.51,668.931,575.196,754.46,915.416,1115.151,645.007,861.454,996.611,758.755,845.606,665.921,713.385,981.867,677.892,591.412,758.713,711.04,784.144,781.91,933.478,368.998,383.742,410.798,503.23,785.741,844.58,1074.107,906.987,587.519,624.226,520.839,657.041,863.695,819.104,1043.956,861.075,184.768,443.444,1088.865,1004.189,804.026,1042.519,1281.67,907.728,768.105,809.085,963.245,981.948,987.361,1090.004,891.063,193.252,402.22,365.475,719.922,705.213,892.86,1011.002,897.344,766.334,895.113,893.782,500.231,615.966,479.047,592.038,705.017,0,,33,27773494.18,168530527.2,136630.126,12.506,41.03,1.5,1.04
0.5,0,306.816,239.619,422.975,339.574,674.225,546.587,450.151,605.276,666.342,573.796,721.887,872.959,1103.385,643.681,856.722,964.782,729.572,813.083,660.421,708.055,974.416,662.828,580.173,726.564,683.692,760.391,774.201,918.716,356.344,383.127,394.999,492.734,767.533,826.665,1063.479,872.103,564.922,600.217,509.574,636.226,833.075,811.618,1027.772,827.957,177.662,426.388,1065.557,976.345,787.858,1030.186,1269.392,896.349,762.462,804.707,940.429,967.117,983.766,1073.796,856.791,185.819,386.75,351.418,692.233,678.089,852.52,982.964,882.294,756.452,881.444,871.359,480.992,613.273,478.141,590.643,696.075,0,,34,27145751.41,154643780.2,125371.94,12.006,39.389,1.5,1.04
0.5,0,295.015,230.402,406.707,326.513,669.567,545.835,449.453,604.042,663.753,572.397,689.315,830.502,1091.619,642.355,851.991,932.953,701.512,781.811,654.921,702.724,966.965,647.764,568.934,694.415,657.396,736.638,766.492,903.954,343.689,382.512,379.806,482.238,749.326,808.75,1052.85,838.56,543.195,577.132,498.309,615.411,802.456,804.133,1011.587,796.112,170.829,409.989,1042.249,948.502,771.689,1017.854,1257.113,884.971,756.819,800.329,917.614,952.286,980.171,1057.588,823.838,178.672,371.875,337.902,665.609,652.009,812.18,954.927,867.243,746.57,867.775,848.936,462.492,610.579,477.235,589.248,687.133,0,,35,26527143.71,141070904.4,114368.214,11.506,37.749,1.5,1.04
0.5,0,283.668,221.541,391.065,313.955,664.909,545.082,448.754,602.809,661.164,570.997,656.742,788.045,1079.852,641.029,847.259,901.125,674.53,751.741,649.421,697.393,959.514,632.7,557.695,662.265,632.112,712.885,758.783,889.192,331.034,381.896,365.198,471.741,731.118,790.835,1042.222,806.308,522.302,554.935,487.044,594.596,771.837,796.647,995.403,765.492,164.258,394.22,1018.941,920.658,755.521,1005.522,1244.834,873.592,751.176,795.951,894.798,937.455,976.575,1041.38,792.152,171.8,357.572,324.906,640.008,626.932,771.84,926.889,852.193,736.689,854.106,826.514,444.704,607.886,476.33,587.854,678.19,0,,36,25917319.73,127807332.6,103615.245,11.006,36.108,1.5,1.04
0.5,0,272.758,213.02,376.024,301.88,660.252,544.33,448.055,601.575,658.576,569.598,624.17,745.588,1068.086,639.704,842.527,869.296,648.587,722.828,643.921,692.063,952.063,617.636,546.456,630.116,607.8,689.132,751.075,874.429,318.379,381.281,351.152,461.245,712.911,772.92,1031.594,775.296,502.214,533.591,475.779,573.781,741.217,789.162,979.218,736.05,157.941,379.058,995.632,892.815,739.353,993.189,1232.555,862.214,745.533,791.572,871.982,922.624,972.98,1025.172,761.684,165.193,343.819,312.409,615.393,602.819,731.5,898.851,837.142,726.807,840.437,804.091,427.6,605.193,475.424,586.459,669.248,0,,37,25315941.63,114848672.7,93109.473,10.506,34.468,1.5,1.04
0.5,0,262.267,213.02,361.561,290.269,655.594,543.577,447.356,600.341,655.987,568.198,591.597,703.131,1056.319,638.378,837.795,837.467,623.641,695.027,638.42,686.732,944.613,602.572,535.217,597.967,584.423,665.379,743.366,859.667,305.724,380.666,337.646,450.749,694.703,755.005,1020.965,745.477,482.898,513.068,464.515,552.965,710.598,781.676,963.034,707.741,151.866,364.478,972.324,864.971,723.185,980.857,1220.276,850.835,739.889,787.194,849.167,907.793,969.385,1008.964,732.389,158.839,330.595,300.394,591.724,579.634,691.16,870.813,822.092,716.925,826.767,781.668,411.154,602.5,474.518,585.064,660.306,0,,38,24730836.77,102190701.9,82847.474,10.006,32.828,1.5,1.04
0.5,0,252.18,213.02,347.655,279.105,650.936,542.825,446.658,599.107,653.398,566.799,559.025,660.674,1044.553,637.052,833.064,805.638,599.655,668.295,632.92,681.401,937.162,587.508,523.978,565.818,561.945,641.626,735.657,844.905,293.07,380.051,324.66,440.253,676.495,737.09,1010.337,716.805,464.325,493.335,453.25,532.15,679.979,774.191,946.849,680.52,146.025,350.46,949.016,837.127,707.016,968.525,1207.998,839.457,734.246,782.816,826.351,892.962,965.79,992.756,704.22,152.73,317.88,288.84,568.965,557.34,650.82,842.776,807.041,707.043,813.098,759.245,395.34,599.806,473.612,583.669,651.364,0,,39,24153227.05,89825283.53,72822.651,9.506,31.187,1.5,1.04
0.5,0,252.18,213.02,340,200.73,646.278,542.072,445.959,597.874,650.809,565.399,526.452,618.217,1032.786,635.726,828.332,773.809,314.715,433.155,627.42,676.071,929.711,572.444,512.739,533.669,459.015,617.873,727.949,830.142,280.415,379.435,252.15,429.756,658.288,719.175,999.708,471.345,276.555,406.11,441.985,511.335,649.359,766.705,930.665,534.81,0,299.025,925.708,809.284,690.848,956.192,1195.719,828.078,728.603,778.438,803.536,878.131,962.195,976.548,584.835,0,317.88,168.345,274.41,400.485,610.48,814.738,791.991,697.162,799.429,736.823,310.68,597.113,472.706,582.275,642.422,0,,40,22467488.03,77748670,63031.966,9.006,29.547,1.5,1.04
0.5,0,252.18,213.02,335.7,193.46,641.62,541.32,445.26,596.64,648.22,564,493.88,575.76,1021.02,634.4,823.6,741.98,209.54,233.62,621.92,670.74,922.26,557.38,501.5,501.52,446.62,594.12,720.24,815.38,267.76,378.82,242.34,419.26,640.08,701.26,989.08,307.46,236.98,404.1,430.72,490.52,618.74,759.22,914.48,420.08,0,280.12,902.4,781.44,674.68,943.86,1183.44,816.7,722.96,774.06,780.72,863.3,958.6,960.34,546.18,0,0,0,119.7,349.68,570.14,786.7,776.94,687.28,785.76,714.4,279.62,594.42,471.8,580.88,633.48,0,,41,21536016.34,66514925.99,53924.608,8.506,27.906,2,1.04
0.5,0,252.18,205.94,202.72,154.28,615.28,534.16,438.9,587,631.22,550.52,439.32,438.42,898.4,634.4,783.08,352.58,0,140.34,618.74,635.8,874.56,481.98,420.94,426.66,302,510.4,653.46,707.58,187.02,378.82,183.96,390.2,558.22,632.94,884.74,159.54,0,308,394.56,390.18,486.5,724.58,829.3,0,0,198.28,746.04,624.16,553.1,801.94,1082.36,751.64,679.52,738.82,717.58,794.48,932.12,721.44,197.86,0,0,0,0,246.12,498.66,637.06,702.48,651.36,703.7,623.52,165.12,570.26,463.96,568.6,573.72,0,,42,18353496.76,55746917.82,45194.829,8.006,26.266,2,1.04
0.5,0,252.18,197.32,111.96,118.96,588.68,527,432.54,570.84,615.8,537.78,393.16,274.78,631.34,634.4,746.8,0,0,0,618.74,595.78,785.8,405.16,373.2,370.86,192.96,399.14,544.4,608.02,176.94,378.82,0,338.18,461.16,577.18,750.64,0,0,241.68,348.48,285.66,351.42,693.72,770.94,0,0,198.28,594.32,455.5,393.54,676.34,837.4,687.98,633.82,706.8,652.68,750.2,903.26,511.68,0,0,0,0,0,191.1,433.66,489.16,642.94,614.88,624.34,538.96,147.58,543.38,455.08,535.8,516.78,0,,43,15360725.58,46570169.44,37755.107,7.506,24.625,2,1.04
0.5,0,252.18,187.8,111.96,105.44,560.82,519.84,426.2,554.28,597.92,519.88,341.08,208.6,392.64,634.4,722.68,0,0,0,618.74,544.88,681.48,356.56,353.46,316.72,180.84,263.36,437.1,497.34,0,0,0,275.08,340.92,513.8,587.72,0,0,171.42,267.52,218.02,210.64,661.7,686.44,0,0,0,594.32,327.36,298.62,569.94,561.76,627.64,591.74,684.76,486.52,685.78,873.78,471.46,0,0,0,0,0,133.5,369.36,343.66,563.66,601.5,539.54,409.54,147.58,491.18,444.52,492.02,485.32,0,,44,12906593.11,38889806.65,31528.526,7.006,22.985,2,1.04
0.5,0,252.18,179.52,111.96,105.44,530.44,512.68,419.84,544.76,578.98,499.32,268.82,0,251.12,634.4,695.9,0,0,0,618.74,493.32,601.28,315.56,336.92,260.92,0,0,370.4,403.66,0,0,0,159.04,141.82,376.98,488.36,0,0,144.94,251.68,0,166.24,624,505.12,0,0,0,594.32,220.22,293.3,450.3,331.82,573.14,558.52,655.8,313.72,588.34,833.14,417.38,0,0,0,0,0,133.5,354.14,181.8,441.46,601.5,405.32,256.02,0,411.44,430.72,461.34,459.92,0,,45,10661751.05,32436510.09,26296.746,6.506,21.345,2,1.04
0.5,0,252.18,171.44,111.96,0,493.3,505.54,413.54,536.24,562.64,483.8,220.68,0,151.42,634.4,667.58,0,0,0,618.74,446.36,517.22,281.6,320.44,183.2,0,0,323.38,333.76,0,0,0,0,0,235.72,464.66,0,0,144.94,251.68,0,0,577.74,289.2,0,0,0,594.32,117.62,293.3,314.46,215.22,438.68,520.78,446.58,169.54,502.54,786.68,363.42,0,0,0,0,0,0,354.14,168.34,291.1,601.5,255.22,142.72,0,349.74,417.16,438.62,432.6,0,,46,9279881.164,27105634.57,21974.928,6.006,19.704,2,1.04
0.5,0,252.18,164.68,111.96,0,443.54,498.42,407.4,527.88,546.68,466.82,210.18,0,120.96,634.4,585.9,0,0,0,618.74,389.18,323.16,242.44,273.58,129.32,0,0,272.22,247.6,0,0,0,0,0,182.12,464.66,0,0,144.94,251.68,0,0,529.04,194.68,0,0,0,594.32,117.62,293.3,177.58,0,314.72,480,242.7,0,368,712.14,255.8,0,0,0,0,0,0,0,0,204.84,601.5,255.22,0,0,293.18,397.06,411.06,401.06,0,,47,8468171.906,22465693.98,18213.262,5.506,18.064,2,1.04
0.5,0,252.18,158.6,111.96,0,387.42,490.86,401.52,519.32,528.24,448.6,198.74,0,120.96,634.4,407.48,0,0,0,618.74,338.44,158.94,187.24,197.76,120.8,0,0,268.48,162.14,0,0,0,0,0,170.26,464.66,0,0,0,0,0,0,472.66,187.5,0,0,0,0,0,0,0,0,283.24,442.58,226.72,0,240.66,607.22,149.4,0,0,0,0,0,0,0,0,0,0,0,0,0,244.38,367.12,381.74,369.06,0,,48,7311074.777,18231608.03,14780.627,5.006,16.423,2,1.04
0.5,0,252.18,154.24,111.96,0,292.22,480.8,394.66,510.64,493.42,429.04,190.5,0,120.96,634.4,184.8,0,0,0,618.74,295.46,127.68,139.78,186.18,118.38,0,0,268.48,108.54,0,0,0,0,0,170.26,464.66,0,0,0,0,0,0,368.66,187.5,0,0,0,0,0,0,0,0,246.1,429.66,215.98,0,188.56,509.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225.48,297.52,346.7,341.06,0,,49,6714307.58,14576070.64,11817.03,4.506,14.783,2,1.04
0.5,0,252.18,150.48,111.96,0,215.58,465.46,384.96,501.96,446.98,388.68,183.46,0,0,634.4,184.8,0,0,0,618.74,247.82,111.82,139.78,186.18,118.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.04,429.66,104.42,0,134.2,364.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225.48,229.88,288.04,311.44,0,,50,5316955.336,11218916.85,9095.337,4.006,13.143,2,
0.5,0,252.18,143.82,0,0,190.18,442.02,372.24,493.08,410.62,343.76,178.48,0,0,0,0,0,0,0,618.74,196.54,111.34,0,186.18,118.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.2,342.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225.48,222.14,233.3,283.72,0,,51,4037312.776,8560439.184,6940.071,3.506,11.502,2,
0.5,0,252.18,134.44,0,0,173.7,414.42,359.36,479.64,384.08,312.64,174.52,0,0,0,0,0,0,0,618.74,138.04,111.34,0,186.18,118.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225.48,222.14,197.28,247.66,0,,52,3838410.277,6541782.796,5303.518,3.006,9.862,2,
0.5,0,252.18,123.82,0,0,173.7,387.74,347.92,463.4,359.72,281.04,169.88,0,0,0,0,0,0,0,618.74,100.04,111.34,0,186.18,118.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.58,211.4,0,,53,3675646.541,4622577.658,3747.59,2.506,8.221,2,
0.5,0,252.18,113.8,0,0,173.7,360.72,338.76,449.72,332.86,242.7,164.08,0,0,0,0,0,0,0,618.74,100.04,0,0,186.18,118.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.64,154.52,0,,54,3434635.219,2784754.387,2257.64,2.006,6.581,2,
0.5,0,252.18,108.46,0,0,0,318.82,330.68,435.72,320.94,218.7,160.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.64,136.3,0,,55,2134873.556,1067436.778,865.386,1.506,4.94,2,
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,56,0,0,0,1.006,3.3,1,
