$ THE DALLES_OUTFLOW.npt based on $//THE DALLES_OUT/FLOW/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,FLOW
40544,5180.941
40545,4942.784
40546,4350.712
40547,5480.706
40548,5222.184
40549,4671.736
40550,4254.731
40551,3900.847
40552,3683.384
40553,4225.965
40554,4797.473
40555,4515.873
40556,5005.956
40557,4401.002
40558,5149.26
40559,4949.698
40560,3994.736
40561,5143.624
40562,6698.505
40563,7657.694
40564,6673.707
40565,5940.148
40566,6508.905
40567,7034.544
40568,7137.004
40569,7356.644
40570,6753.431
40571,7301.042
40572,7723.32
40573,6816.319
40574,5945.025
40575,6554.775
40576,6390.36
40577,6317.411
40578,6041.201
40579,6519.505
40580,5275.599
40581,4917.905
40582,4487.68
40583,6272.625
40584,6589.135
40585,6273.833
40586,6615.688
40587,6496.437
40588,5433.255
40589,5745.325
40590,6680.706
40591,6792.827
40592,6696.723
40593,6294.248
40594,6350.24
40595,6236.288
40596,5837.822
40597,5633.532
40598,6388.22
40599,6131.966
40600,5773.411
40601,5276.411
40602,5980.103
40603,6699.933
40604,6365.552
40605,6582.375
40606,6529.906
40607,6444.296
40608,5628.706
40609,5516.518
40610,6193.538
40611,5854.686
40612,6549.716
40613,6277.065
40614,5968.152
40615,6694.811
40616,6185.761
40617,6656.342
40618,5841.201
40619,5659.417
40620,6243.081
40621,6798.875
40622,6770.205
40623,6334.545
40624,5270.17
40625,6137.175
40626,7098.062
40627,6874.339
40628,6593.705
40629,6041.447
40630,7469.18
40631,6359.314
40632,6578.396
40633,6825.659
40634,7065.112
40635,8321.144
40636,9134.134
40637,9560.229
40638,10092.73
40639,10952.85
40640,9795.339
40641,8933.17
40642,8436.898
40643,9305.505
40644,9405.531
40645,8528.592
40646,8547.971
40647,8224.224
40648,8100.305
40649,8275.976
40650,6681.929
40651,7521.987
40652,7956.53
40653,7588.803
40654,8086.581
40655,7704.502
40656,8464.754
40657,7743.938
40658,7387.531
40659,7776.082
40660,7210.377
40661,7897.19
40662,7788.307
40663,6996.115
40664,6509.539
40665,7797.153
40666,7343.056
40667,7680.914
40668,7637.056
40669,7255.378
40670,7630.65
40671,7077.738
40672,7156.288
40673,7995.141
40674,8956.431
40675,7633.782
40676,8409.934
40677,9976.586
40678,10224.85
40679,11195.79
40680,12388.57
40681,13045.73
40682,13308.98
40683,13086.36
40684,13505.25
40685,13143.05
40686,13697.25
40687,13773.56
40688,14644.74
40689,14190.46
40690,13945.58
40691,14182.36
40692,14321.71
40693,14272.95
40694,14406.11
40695,14232.54
40696,13837.5
40697,14212.32
40698,14262.88
40699,14745.78
40700,14900.77
40701,14698.76
40702,14725.02
40703,14652.91
40704,14863.12
40705,14744.33
40706,14374.07
40707,14404.4
40708,14332.88
40709,13888.9
40710,14115.63
40711,14550.54
40712,14594.33
40713,13836.61
40714,13652.1
40715,12918.25
40716,13135.4
40717,13207.06
40718,13109.88
40719,14068.17
40720,13722.81
40721,13080.22
40722,11834.61
40723,11917.25
40724,11693.27
40725,11864.28
40726,12239.09
40727,12932.37
40728,11892.87
40729,12468.22
40730,11055.88
40731,10876.13
40732,11666.05
40733,11800.46
40734,11747.04
40735,11257.93
40736,10299.22
40737,9387.719
40738,9176.677
40739,9541.111
40740,10123.77
40741,8814.051
40742,8150.524
40743,8784.434
40744,8753.238
40745,9123.636
40746,7960.782
40747,7975.349
40748,7866.218
40749,7580.554
40750,7688.655
40751,7529.56
40752,7248.22
40753,7506.541
40754,6488.697
40755,6344.944
40756,6919.965
40757,6847.587
40758,5869.412
40759,6034.113
40760,5892.286
40761,5861.947
40762,5393.959
40763,5571.175
40764,6108.245
40765,5593.734
40766,5796.26
40767,5981.457
40768,6250.331
40769,5130.514
40770,4664.723
40771,6048.831
40772,5644.729
40773,6046.916
40774,6122.035
40775,6149.156
40776,5437.657
40777,4846.624
40778,4755.719
40779,5294.042
40780,5880.639
40781,5846.75
40782,5557.643
40783,5157.751
40784,4521.458
40785,4674.27
40786,4362.623
40787,5036.835
40788,4353.037
40789,3942.839
40790,3247.051
40791,2937.516
40792,3336.419
40793,3623.942
40794,3908.103
40795,3501.331
40796,3783.73
40797,3523.985
40798,3477.864
40799,3742.852
40800,3188.476
40801,2957.547
40802,3251.547
40803,3446.575
40804,3474.878
40805,3071.712
40806,3036.294
40807,3991.196
40808,3702.23
40809,3050.984
40810,3129.233
40811,2717.795
40812,3007.526
40813,3451.61
40814,3557.86
40815,3612.686
40816,3394.983
40817,3253.458
40818,2530.676
40819,2655.155
40820,3068.614
40821,3162.442
40822,3628.201
40823,3822.426
40824,3217.633
40825,3044.277
40826,3235.244
40827,3963.35
40828,3432.717
40829,3253.176
40830,3498.794
40831,4244.118
40832,3935.75
40833,4065.832
40834,3917.125
40835,3790.59
40836,3076.677
40837,3604.764
40838,3705.414
40839,3564.658
40840,2845.473
40841,3549.886
40842,3605.607
40843,3051.472
40844,4005.974
40845,4437.192
40846,3753.387
40847,3010.999
40848,3290.044
40849,4262.407
40850,3809.675
40851,3862.621
40852,3673.938
40853,3524.588
40854,3673.279
40855,3581.089
40856,4247.662
40857,3455.758
40858,3577.314
40859,3930.329
40860,3540.579
40861,3377.451
40862,3939.339
40863,3572.36
40864,4169.639
40865,4371.809
40866,3802.962
40867,3799.768
40868,4176.287
40869,4180.921
40870,4137.83
40871,3788.815
40872,3817.138
40873,3792.823
40874,4128.384
40875,3274.991
40876,3592.909
40877,4063.995
40878,4429.114
40879,3924.739
40880,3821.46
40881,3852.204
40882,3692.442
40883,3781.446
40884,4251.38
40885,4477.804
40886,4343.321
40887,4329.119
40888,4697.534
40889,4315.876
40890,4140.564
40891,4015.588
40892,4720.662
40893,4486.669
40894,3711.897
40895,3825.384
40896,3164.548
40897,3627.907
40898,4076.358
40899,3592.04
40900,3689.662
40901,3701.534
40902,3504.192
40903,3335.548
40904,4255.567
40905,4538.787
40906,3889.058
40907,3608.402
40908,3825.771
40909,3993.898
40910,4408.716
40911,3251.702
40912,3907.33
40913,4662.194
40914,3963.793
40915,4519.64
40916,3562.075
40917,3345.852
40918,3970.327
40919,3857.37
40920,4519.033
40921,3666.946
40922,4369.262
40923,3765.26
40924,4226.17
40925,4780.213
40926,4652.542
40927,5054.045
40928,5135.438
40929,5193.349
40930,4524.242
40931,3984.529
40932,4670.806
40933,4631.686
40934,4046.832
40935,4020.411
40936,4908.629
40937,4550.56
40938,4254.736
40939,3497.523
40940,3789.785
40941,3638.315
40942,3871.54
40943,3639.919
40944,3777.913
40945,3987.234
40946,4080.274
40947,4118.815
40948,3667.071
40949,3597.933
40950,4036.246
40951,3966.984
40952,3917.894
40953,3933.597
40954,3888.071
40955,4266.881
40956,4478.563
40957,4013.518
40958,3880.157
40959,3665.682
40960,4237.277
40961,4086.98
40962,3683.497
40963,5079.55
40964,5180.949
40965,4060.833
40966,4338.842
40967,4913.012
40968,4926.883
40969,3357.452
40970,3418.058
40971,3916.139
40972,3759.568
40973,4116.862
40974,3941.917
40975,4016.644
40976,4441.246
40977,4710.727
40978,4286.423
40979,3872.804
40980,4237.732
40981,5098.607
40982,5013.163
40983,5450.233
40984,5005.105
40985,5666.132
40986,5761.685
40987,6289.431
40988,5798.685
40989,4965.162
40990,6184.385
40991,6104.462
40992,6870.546
40993,7300.521
40994,7543.758
40995,7338.786
40996,7181.162
40997,7774.644
40998,8254.888
40999,8907.844
41000,8183.221
41001,8873.167
41002,8954.029
41003,9401.203
41004,8869.739
41005,7630.18
41006,8155.296
41007,8612.299
41008,8746.793
41009,8270.942
41010,7938.617
41011,8624.794
41012,8708.675
41013,8425.649
41014,8682.228
41015,8644.97
41016,8386.666
41017,8701.675
41018,8918.502
41019,9303.82
41020,9243.656
41021,8799.773
41022,9233.012
41023,9998.816
41024,10259.1
41025,11678.83
41026,12279.7
41027,12230.08
41028,12140.82
41029,11124.8
41030,10293.84
41031,11046.24
41032,11323.32
41033,11293.04
41034,11293.51
41035,11241.05
41036,10740.24
41037,10194.55
41038,9289.799
41039,9085.065
41040,9838.676
41041,10310
41042,9606.062
41043,9439.289
41044,8443.942
41045,9438.72
41046,9724.388
41047,10008.76
41048,10900.27
41049,11029.19
41050,9983.493
41051,10119.74
41052,10224.37
41053,10119.96
41054,11087.66
41055,10275.74
41056,9814.834
41057,9254.269
41058,9298.505
41059,8184.216
41060,8934.42
41061,7845.176
41062,7850.789
41063,7885.837
41064,8466.472
41065,8831.655
41066,8498.724
41067,9831.583
41068,10532.44
41069,10231.14
41070,9871.705
41071,10373.58
41072,9826.965
41073,10258.98
41074,9752.936
41075,9774.466
41076,10341.41
41077,8830.127
41078,9165.554
41079,9374.109
41080,10483.88
41081,10911.34
41082,10239.55
41083,9851.746
41084,10487.63
41085,10655.44
41086,12592.73
41087,11315.96
41088,12006.49
41089,11502.51
41090,11123.36
41091,11113.59
41092,11604.81
41093,11065.83
41094,10707.07
41095,10053.32
41096,10679.03
41097,10739.54
41098,8930.53
41099,9285.647
41100,9710.377
41101,9370.08
41102,9737.021
41103,9640.052
41104,10120.6
41105,10189.44
41106,9612.455
41107,10845.85
41108,10122.77
41109,8829.277
41110,8620.713
41111,8886.928
41112,9724.843
41113,9579.421
41114,9822.04
41115,9132.333
41116,8632.519
41117,8623.758
41118,8468.695
41119,7778.161
41120,7755.852
41121,7318.26
41122,7795.707
41123,7248.909
41124,7063.576
41125,6653.488
41126,6503.209
41127,6133.381
41128,6212.899
41129,5937.991
41130,5968.523
41131,6392.695
41132,5713.701
41133,6121.13
41134,6494.023
41135,6623.487
41136,5611.618
41137,5525.882
41138,5129.625
41139,5466.725
41140,5180.735
41141,4864.193
41142,5691.297
41143,4911.262
41144,5702.85
41145,4935.183
41146,5673.593
41147,5147.368
41148,4101.456
41149,5113.58
41150,4173.374
41151,4592.325
41152,4086.31
41153,4486.975
41154,4516.677
41155,3315.065
41156,3108.592
41157,3905.409
41158,3859.125
41159,3886.797
41160,3249.266
41161,3503.99
41162,2575.802
41163,3281.767
41164,3723.307
41165,4206.795
41166,3119.335
41167,3405.218
41168,3535.985
41169,3172.726
41170,3205.759
41171,3869.247
41172,3732.763
41173,3152.601
41174,3506.131
41175,2950.149
41176,2911.189
41177,2749.202
41178,3239.366
41179,3078.1
41180,2865.243
41181,3504.897
41182,2966.897
41183,2494.615
41184,1840.406
41185,2439.085
41186,3458.111
41187,3049.667
41188,2572.053
41189,2564.917
41190,2340.575
41191,2461.082
41192,3262.449
41193,2978.701
41194,2803.277
41195,2369.085
41196,2462.068
41197,2280.681
41198,2627.712
41199,2343.471
41200,2380.551
41201,2442.273
41202,2396.765
41203,2700.36
41204,2965.097
41205,3460.19
41206,3254.993
41207,2910.705
41208,3601.587
41209,4012.938
41210,3618.116
41211,3082.693
41212,3298.829
41213,3573.49
41214,3540.572
41215,3531.275
41216,3778.263
41217,3400.827
41218,3258.981
41219,3395.651
41220,3463.146
41221,3116.191
41222,3593.913
41223,3476.462
41224,3676.217
41225,4002.071
41226,4025.885
41227,3859.936
41228,3736.321
41229,3984.267
41230,4177.55
41231,4055.614
41232,4281.64
41233,3645.739
41234,2426.798
41235,4091.491
41236,3665.923
41237,3632.237
41238,3186.452
41239,3097.289
41240,3684.926
41241,4517.845
41242,4055.615
41243,4246.006
41244,4535.604
41245,4485.295
41246,4686.348
41247,4608.368
41248,5096.72
41249,4782.669
41250,5348.01
41251,5293.293
41252,5545.978
41253,5366.008
41254,5005.452
41255,5152.921
41256,5715.885
41257,5971.198
41258,5726.94
41259,5834.602
41260,5015.159
41261,5152.826
41262,6107.17
41263,5371.053
41264,4709.882
41265,4678.804
41266,4967.883
41267,4851.789
41268,4364.955
41269,4036.008
41270,4472.728
41271,4391.426
41272,4837.964
41273,5248.045
41274,5823.269
41275,5656.991
41276,5528.847
41277,5955.369
41278,5601.01
41279,4943.17
41280,5255.433
41281,4997.244
41282,4581.085
41283,5144.489
41284,6077.704
41285,5474.309
41286,5112.158
41287,5436.176
41288,5524.641
41289,5068.472
41290,5456.806
41291,6219.719
41292,5998.381
41293,5055.083
41294,5490.838
41295,5088.233
41296,5280.746
41297,5730.319
41298,5543.494
41299,4999.883
41300,5591.892
41301,4492.559
41302,4455.126
41303,4361.251
41304,3810.255
41305,4135.433
41306,4834.963
41307,4129.909
41308,3864.011
41309,4077.511
41310,4365.618
41311,3966.194
41312,4189.377
41313,4200.223
41314,4118.881
41315,4188.621
41316,3782.696
41317,3967.952
41318,4424.37
41319,3895.177
41320,4169.057
41321,4552.379
41322,4038.499
41323,4120.283
41324,4164.792
41325,3967.396
41326,4224.562
41327,4146.701
41328,3975.12
41329,3837.245
41330,4024.158
41331,3696.921
41332,4006.072
41333,3300.084
41334,3970.322
41335,3141.831
41336,3568.721
41337,3252.507
41338,3144.373
41339,3141.425
41340,3336.257
41341,3248.085
41342,3294.247
41343,3673.691
41344,3470.279
41345,4185.995
41346,3662.362
41347,3064.475
41348,3224.673
41349,3311.232
41350,3279.544
41351,3670.999
41352,4084.248
41353,4104.165
41354,2920.806
41355,4065.688
41356,3892.565
41357,3815.634
41358,3706.795
41359,4160.534
41360,3966.811
41361,4157.485
41362,3934.583
41363,3454.083
41364,4622.484
41365,5010.377
41366,4800.455
41367,4500.696
41368,5288.285
41369,5433.474
41370,6220.894
41371,6430.259
41372,6925.499
41373,7021.627
41374,7971.074
41375,7112.546
41376,8009.086
41377,8115.826
41378,6982.877
41379,7365.453
41380,7794.791
41381,8161.055
41382,7225.172
41383,6986.646
41384,5930.556
41385,6729.315
41386,6596.072
41387,7251.44
41388,6260.281
41389,6129.239
41390,6119.509
41391,6037.262
41392,6421.749
41393,6483.567
41394,6333.644
41395,6240.772
41396,6796.842
41397,6437.737
41398,6870.736
41399,6391.146
41400,6238.075
41401,6648.071
41402,6841.622
41403,7665.965
41404,7980.756
41405,9343.899
41406,10358.49
41407,10067.29
41408,9638.759
41409,9587.659
41410,9682.703
41411,9966.449
41412,8696.438
41413,9405.984
41414,9342.761
41415,8805.296
41416,8207.173
41417,8293.513
41418,9207.848
41419,8614.564
41420,8234.315
41421,8374.412
41422,8533.387
41423,8173.536
41424,7723.246
41425,7195.326
41426,7577.698
41427,7274.466
41428,5841.056
41429,7586.67
41430,6904.164
41431,7134.397
41432,7589.631
41433,6559.096
41434,7003.717
41435,6997.713
41436,7434.471
41437,6213.637
41438,7124.196
41439,7196.997
41440,7028.442
41441,6730.677
41442,6093.761
41443,6048.766
41444,6195.492
41445,6376.356
41446,6680.581
41447,6768.534
41448,8483.153
41449,7685.462
41450,7350.726
41451,7459.011
