$$W2 Shading Input File, Vegetation and Topography, calibrated veg characteristics and corrected topography,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segment,DynSh,TTEleLB,TTEleRB,ClDisLB,ClDiRB,SRFLB1,SRFLB2,SRFRB1,SRFRB2,TOPO1,TOPO2,TOPO3,TOPO4,TOPO5,TOPO6,TOPO7,TOPO8,TOPO9,TOPO10,TOPO11,TOPO12,TOPO13,TOPO14,TOPO15,TOPO16,TOPO17,TOPO18,SRFJD1,SRFJD2
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,-1,575,580,70,70,0,0.57,0,0.5,0.486,0.49,0.414,0.295,0.191,0.149,0.134,0.296,0.353,0.359,0.329,0.25,0.12,0.123,0.242,0.298,0.31,0.414,80,288
3,-1,568,566,70,70,0,0.57,0,0.5,0.501,0.505,0.476,0.383,0.201,0.121,0.122,0.231,0.257,0.221,0.136,0.083,0.101,0.166,0.258,0.318,0.361,0.427,80,288
4,-1,562,565,70,70,0,0.57,0,0.5,0.599,0.583,0.566,0.458,0.478,0.469,0.409,0.296,0.246,0.221,0.18,0.077,0.137,0.289,0.35,0.433,0.53,0.588,80,288
5,-1,568,565,70,70,0,0.57,0,0.5,0.599,0.583,0.566,0.458,0.478,0.469,0.409,0.296,0.246,0.221,0.18,0.077,0.137,0.289,0.35,0.433,0.53,0.588,80,288
6,-1,544,546,70,70,0,0.57,0,0.5,0.599,0.583,0.566,0.458,0.478,0.469,0.409,0.296,0.246,0.221,0.18,0.077,0.137,0.289,0.35,0.433,0.53,0.588,80,288
7,-1,548,567,70,70,0,0.54,0,0.59,0.468,0.427,0.371,0.286,0.183,0.345,0.454,0.504,0.487,0.4,0.268,0.159,0.163,0.312,0.399,0.416,0.445,0.466,80,288
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,-1,549,561,70,70,0,0.55,0,0.53,0.468,0.418,0.332,0.251,0.127,0.185,0.23,0.255,0.247,0.197,0.102,0.134,0.253,0.427,0.522,0.536,0.534,0.5,80,288
11,-1,580,543,70,70,0,0.55,0,0.58,0.462,0.392,0.304,0.218,0.196,0.229,0.272,0.224,0.162,0.12,0.062,0.271,0.396,0.567,0.645,0.701,0.667,0.561,80,288
12,-1,555,586,70,70,0,0.51,0,0.58,0.393,0.31,0.236,0.216,0.228,0.228,0.25,0.222,0.169,0.119,0.283,0.558,0.736,0.809,0.77,0.699,0.668,0.564,80,288
13,-1,555,555,70,70,0,0.5,0,0.59,0.271,0.229,0.182,0.247,0.329,0.37,0.344,0.294,0.238,0.189,0.111,0.177,0.29,0.358,0.397,0.431,0.391,0.357,80,288
14,-1,548,548,70,70,0,0.59,0,0.58,0.243,0.19,0.215,0.346,0.394,0.425,0.428,0.405,0.372,0.287,0.162,0.068,0.21,0.288,0.297,0.308,0.324,0.302,80,288
15,-1,542,550,70,70,0,0.59,0,0.58,0.243,0.19,0.215,0.346,0.394,0.425,0.428,0.405,0.372,0.287,0.162,0.068,0.21,0.288,0.297,0.308,0.324,0.302,80,288
16,-1,555,537,70,70,0,0.52,0,0.56,0.194,0.173,0.171,0.26,0.346,0.437,0.493,0.529,0.443,0.279,0.217,0.089,0.042,0.124,0.21,0.3,0.287,0.314,80,288
17,-1,542,553,70,70,0,0.52,0,0.56,0.194,0.173,0.171,0.26,0.346,0.437,0.493,0.529,0.443,0.279,0.217,0.089,0.042,0.124,0.21,0.3,0.287,0.314,80,288
18,-1,540,550,70,70,0,0.55,0,0.54,0.184,0.162,0.103,0.187,0.28,0.392,0.365,0.271,0.299,0.311,0.246,0.128,0.051,0.155,0.197,0.3,0.281,0.285,80,288
19,-1,531,544,70,70,0,0.68,0,0.63,0.188,0.174,0.173,0.149,0.223,0.254,0.228,0.328,0.367,0.237,0.152,0.101,0.061,0.211,0.244,0.31,0.326,0.309,80,288
20,-1,548,533,70,70,0,0.68,0,0.63,0.188,0.174,0.173,0.149,0.223,0.254,0.228,0.328,0.367,0.237,0.152,0.101,0.061,0.211,0.244,0.31,0.326,0.309,80,288
21,-1,538,556,70,70,0,0.68,0,0.63,0.165,0.174,0.092,0.157,0.272,0.241,0.264,0.388,0.42,0.438,0.392,0.17,0.065,0.113,0.211,0.295,0.313,0.297,80,288
22,-1,546,530,70,70,0,0.68,0,0.63,0.165,0.174,0.092,0.157,0.272,0.241,0.264,0.388,0.42,0.438,0.392,0.17,0.065,0.113,0.211,0.295,0.313,0.297,80,288
23,-1,550,534,70,70,0,0.68,0,0.63,0.153,0.157,0.082,0.161,0.287,0.235,0.286,0.428,0.449,0.477,0.499,0.52,0.413,0.282,0.172,0.282,0.3,0.286,80,288
24,-1,546,549,70,70,0,0.68,0,0.63,0.139,0.135,0.083,0.189,0.29,0.234,0.32,0.475,0.511,0.513,0.42,0.419,0.312,0.185,0.139,0.267,0.287,0.274,80,288
25,-1,543,546,70,70,0,0.68,0,0.63,0.139,0.135,0.083,0.189,0.29,0.234,0.32,0.475,0.511,0.513,0.42,0.419,0.312,0.185,0.139,0.267,0.287,0.274,80,288
26,-1,550,540,70,70,0,0.67,0,0.6,0.19,0.153,0.098,0.132,0.239,0.274,0.41,0.364,0.287,0.245,0.232,0.154,0.105,0.172,0.328,0.419,0.37,0.299,80,288
27,-1,560,535,70,70,0,0.67,0,0.6,0.19,0.153,0.098,0.132,0.239,0.274,0.41,0.364,0.287,0.245,0.232,0.154,0.105,0.172,0.328,0.419,0.37,0.299,80,288
28,-1,536,555,70,70,0,0.6,0,0.64,0.355,0.22,0.087,0.118,0.231,0.289,0.299,0.343,0.408,0.413,0.336,0.25,0.186,0.09,0.143,0.274,0.338,0.349,80,288
29,-1,532,543,70,70,0,0.69,0,0.69,0.235,0.269,0.132,0.131,0.209,0.377,0.549,0.692,0.77,0.789,0.764,0.679,0.537,0.356,0.15,0.265,0.333,0.328,80,288
30,-1,530,548,70,70,0,0.69,0,0.69,0.235,0.269,0.132,0.131,0.209,0.377,0.549,0.692,0.77,0.789,0.764,0.679,0.537,0.356,0.15,0.265,0.333,0.328,80,288
31,-1,550,535,70,70,0,0.7,0,0.71,0.299,0.264,0.279,0.182,0.115,0.166,0.259,0.314,0.423,0.497,0.524,0.504,0.409,0.224,0.185,0.296,0.356,0.373,80,288
32,-1,535,527,70,70,0,0.7,0,0.71,0.299,0.264,0.279,0.182,0.115,0.166,0.259,0.314,0.423,0.497,0.524,0.504,0.409,0.224,0.185,0.296,0.356,0.373,80,288
33,-1,526,532,70,70,0,0.7,0,0.74,0.397,0.374,0.296,0.246,0.13,0.136,0.186,0.232,0.339,0.371,0.313,0.21,0.077,0.125,0.258,0.342,0.391,0.414,80,288
34,-1,529,532,70,70,0,0.77,0,0.75,0.568,0.491,0.361,0.225,0.138,0.119,0.157,0.256,0.257,0.212,0.147,0.056,0.114,0.261,0.404,0.509,0.577,0.6,80,288
35,-1,530,523,70,70,0,0.77,0,0.75,0.568,0.491,0.361,0.225,0.138,0.119,0.157,0.256,0.257,0.212,0.147,0.056,0.114,0.261,0.404,0.509,0.577,0.6,80,288
36,-1,528,529,70,70,0,0.78,0,0.71,0.485,0.384,0.267,0.162,0.1,0.2,0.279,0.295,0.254,0.207,0.152,0.063,0.176,0.402,0.541,0.596,0.577,0.536,80,288
37,-1,535,524,70,70,0,0.78,0,0.71,0.485,0.384,0.267,0.162,0.1,0.2,0.279,0.295,0.254,0.207,0.152,0.063,0.176,0.402,0.541,0.596,0.577,0.536,80,288
38,-1,512,528,70,70,0,0.63,0,0.62,0.366,0.263,0.175,0.144,0.266,0.334,0.383,0.378,0.374,0.304,0.221,0.142,0.001,0.112,0.241,0.344,0.378,0.392,80,288
39,-1,527,528,70,70,0,0.69,0,0.64,0.362,0.244,0.144,0.14,0.252,0.372,0.451,0.494,0.496,0.477,0.433,0.286,0.035,0.061,0.199,0.299,0.346,0.374,80,288
40,-1,530,519,70,70,0,0.69,0,0.64,0.362,0.244,0.144,0.14,0.252,0.372,0.451,0.494,0.496,0.477,0.433,0.286,0.035,0.061,0.199,0.299,0.346,0.374,80,288
41,-1,529,517,70,70,0,0.63,0,0.76,0.369,0.28,0.18,0.278,0.137,0.238,0.34,0.322,0.289,0.24,0.171,0.064,0.001,0.081,0.21,0.308,0.369,0.378,80,288
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
