$Spokane wwtp,constituent,file,-,year,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JDAY,TDS,TRACER,COLFRM,COND,CHLORID,ISS,PO4,NH4,NO3,LDOM,RDOM,LPOM,RPOM,1CBOD,2CBOD,3CBOD,4CBOD,5CBOD,6CBOD,7CBOD,8CBOD,9CBOD,10CBOD,1CBODP,2CBODP,3CBODP,4CBODP,5CBODP,6CBODP,7CBODP,8CBODP,9CBODP,10CBODP,1CBODN,2CBODN,3CBODN,4CBODN,5CBODN,6CBODN,7CBODN,8CBODN,9CBODN,10CBODN,Algae1,Algae2,Algae3,DO,TIC,ALK,LDOMP,RDOMP,LPOMP,RPOMP,LDOMN,RDOMN,LPOMN,RPOMN
1,310,0,30,640,0.61,2,1.1575,0.127,16.68,0,0,0,0,0,0,0,38.98,0,0,0,0,0,0,0,0,0,2.022,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,9.4,39.07,108,0,0,0,0,0,0,0,0
2,310,0,30,640,0.56,1,1.3322,0.128,16.88,0,0,0,0,0,0,0,42.22,0,0,0,0,0,0,0,0,0,2.328,0,0,0,0,0,0,0,0,0,0.469,0,0,0,0,0,0,0,0,0,8.6,41.31,113,0,0,0,0,0,0,0,0
3,310,0,13,640,0.64,1,1.1066,0.124,17.08,0,0,0,0,0,0,0,45.47,0,0,0,0,0,0,0,0,0,1.933,0,0,0,0,0,0,0,0,0,0.807,0,0,0,0,0,0,0,0,0,8,42.19,111,0,0,0,0,0,0,0,0
4,310,0,17,640,0.62,2,1.223,0.146,17.28,0,0,0,0,0,0,0,35.73,0,0,0,0,0,0,0,0,0,2.137,0,0,0,0,0,0,0,0,0,1.146,0,0,0,0,0,0,0,0,0,9.9,42.52,109,0,0,0,0,0,0,0,0
5,310,0,13,640,0.56,0.1,1.2886,0.142,17.48,0,0,0,0,0,0,0,42.22,0,0,0,0,0,0,0,0,0,2.251,0,0,0,0,0,0,0,0,0,1.484,0,0,0,0,0,0,0,0,0,9.6,33.53,99,0,0,0,0,0,0,0,0
6,310,0,25.3,640,0.62,0.1,1.223,0.124,17.68,0,0,0,0,0,0,0,38.98,0,0,0,0,0,0,0,0,0,2.137,0,0,0,0,0,0,0,0,0,1.823,0,0,0,0,0,0,0,0,0,8.2,36.25,90,0,0,0,0,0,0,0,0
7,310,0,37.7,640,0.61,0.1,1.1976,0.124,17.88,0,0,0,0,0,0,0,42.22,0,0,0,0,0,0,0,0,0,2.092,0,0,0,0,0,0,0,0,0,2.161,0,0,0,0,0,0,0,0,0,9,39.49,105,0,0,0,0,0,0,0,0
8,310,0,50,640,0.57,0.1,1.2376,0.124,18.08,0,0,0,0,0,0,0,51.97,0,0,0,0,0,0,0,0,0,2.162,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,9.1,48.82,118,0,0,0,0,0,0,0,0
9,310,0,23,640,0.58,2,1.2886,0.225,18.061,0,0,0,0,0,0,0,45.47,0,0,0,0,0,0,0,0,0,2.251,0,0,0,0,0,0,0,0,0,2.314,0,0,0,0,0,0,0,0,0,8.4,44.48,99,0,0,0,0,0,0,0,0
10,310,0,17,640,0.59,1,1.2849,0.306,18.043,0,0,0,0,0,0,0,64.96,0,0,0,0,0,0,0,0,0,2.245,0,0,0,0,0,0,0,0,0,2.129,0,0,0,0,0,0,0,0,0,9.2,38.72,92,0,0,0,0,0,0,0,0
11,310,0,80,640,0.46,1,1.2958,0.221,18.024,0,0,0,0,0,0,0,38.98,0,0,0,0,0,0,0,0,0,2.264,0,0,0,0,0,0,0,0,0,1.943,0,0,0,0,0,0,0,0,0,9.2,38.11,91,0,0,0,0,0,0,0,0
12,310,0,17,640,0.6,0.1,1.3068,0.135,18.006,0,0,0,0,0,0,0,42.22,0,0,0,0,0,0,0,0,0,2.283,0,0,0,0,0,0,0,0,0,1.757,0,0,0,0,0,0,0,0,0,9.2,39.03,96,0,0,0,0,0,0,0,0
13,310,0,28,640,0.59,1,1.2813,0.124,17.987,0,0,0,0,0,0,0,29.88,0,0,0,0,0,0,0,0,0,2.239,0,0,0,0,0,0,0,0,0,1.571,0,0,0,0,0,0,0,0,0,8.8,37.23,96,0,0,0,0,0,0,0,0
14,310,0,39,640,0.58,2,1.1539,0.124,17.969,0,0,0,0,0,0,0,38.98,0,0,0,0,0,0,0,0,0,2.016,0,0,0,0,0,0,0,0,0,1.386,0,0,0,0,0,0,0,0,0,8.9,39.76,104,0,0,0,0,0,0,0,0
15,310,0,50,640,0.55,0.1,1.1976,0.124,17.95,0,0,0,0,0,0,0,38.98,0,0,0,0,0,0,0,0,0,2.092,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,9.1,41.56,108,0,0,0,0,0,0,0,0
16,310,0,34,640,0.57,0.1,1.2194,0.289,17.546,0,0,0,0,0,0,0,32.48,0,0,0,0,0,0,0,0,0,2.131,0,0,0,0,0,0,0,0,0,1.243,0,0,0,0,0,0,0,0,0,8.8,43.63,111,0,0,0,0,0,0,0,0
17,310,0,4,640,0.56,0.1,1.2485,1.08,17.141,0,0,0,0,0,0,0,45.47,0,0,0,0,0,0,0,0,0,2.181,0,0,0,0,0,0,0,0,0,1.286,0,0,0,0,0,0,0,0,0,9.2,40.55,105,0,0,0,0,0,0,0,0
18,310,0,34,640,0.51,1,1.2558,4.56,16.737,0,0,0,0,0,0,0,61.71,0,0,0,0,0,0,0,0,0,2.194,0,0,0,0,0,0,0,0,0,1.329,0,0,0,0,0,0,0,0,0,9.4,50.54,145,0,0,0,0,0,0,0,0
19,310,0,26,640,0.54,0.1,1.2813,0.1,16.333,0,0,0,0,0,0,0,35.73,0,0,0,0,0,0,0,0,0,2.239,0,0,0,0,0,0,0,0,0,1.371,0,0,0,0,0,0,0,0,0,9.6,39.97,105,0,0,0,0,0,0,0,0
20,310,0,27.3,640,0.52,0.1,1.3177,0.067,15.929,0,0,0,0,0,0,0,35.73,0,0,0,0,0,0,0,0,0,2.302,0,0,0,0,0,0,0,0,0,1.414,0,0,0,0,0,0,0,0,0,9.3,40.34,100,0,0,0,0,0,0,0,0
21,310,0,28.7,640,0.55,1,1.223,0.067,15.524,0,0,0,0,0,0,0,29.23,0,0,0,0,0,0,0,0,0,2.137,0,0,0,0,0,0,0,0,0,1.457,0,0,0,0,0,0,0,0,0,9.5,42.28,109,0,0,0,0,0,0,0,0
22,310,0,30,640,0.56,0.1,1.1138,0.124,15.12,0,0,0,0,0,0,0,32.48,0,0,0,0,0,0,0,0,0,1.946,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,10.2,42.11,111,0,0,0,0,0,0,0,0
23,310,0,50,640,0.57,0.1,1.2376,0.071,15.48,0,0,0,0,0,0,0,41.57,0,0,0,0,0,0,0,0,0,2.162,0,0,0,0,0,0,0,0,0,1.571,0,0,0,0,0,0,0,0,0,9.6,41.27,107,0,0,0,0,0,0,0,0
24,310,0,130,640,0.6,2,1.3504,0.064,15.84,0,0,0,0,0,0,0,45.47,0,0,0,0,0,0,0,0,0,2.36,0,0,0,0,0,0,0,0,0,1.643,0,0,0,0,0,0,0,0,0,10.5,41.46,105,0,0,0,0,0,0,0,0
25,310,0,14,640,0.55,0.5,1.2776,0.124,16.2,0,0,0,0,0,0,0,32.48,0,0,0,0,0,0,0,0,0,2.232,0,0,0,0,0,0,0,0,0,1.714,0,0,0,0,0,0,0,0,0,9.5,38.15,101,0,0,0,0,0,0,0,0
26,310,0,4,640,0.58,0.1,1.2813,0.124,16.56,0,0,0,0,0,0,0,22.74,0,0,0,0,0,0,0,0,0,2.239,0,0,0,0,0,0,0,0,0,1.786,0,0,0,0,0,0,0,0,0,9.5,43.25,99,0,0,0,0,0,0,0,0
27,310,0,4,640,0.6,1,1.3359,0.124,16.92,0,0,0,0,0,0,0,29.23,0,0,0,0,0,0,0,0,0,2.334,0,0,0,0,0,0,0,0,0,1.857,0,0,0,0,0,0,0,0,0,10.6,40.87,101,0,0,0,0,0,0,0,0
28,310,0,4,640,0.61,1,1.2704,0.124,17.28,0,0,0,0,0,0,0,32.48,0,0,0,0,0,0,0,0,0,2.22,0,0,0,0,0,0,0,0,0,1.929,0,0,0,0,0,0,0,0,0,9.8,44.51,116,0,0,0,0,0,0,0,0
29,310,0,4,640,0.61,1,1.2158,0.124,17.64,0,0,0,0,0,0,0,42.22,0,0,0,0,0,0,0,0,0,2.124,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9.4,43.04,114,0,0,0,0,0,0,0,0
30,310,0,22,640,0.56,0.5,1.1684,0.124,17.549,0,0,0,0,0,0,0,24.36,0,0,0,0,0,0,0,0,0,2.042,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9.3,45.76,120,0,0,0,0,0,0,0,0
31,310,0,8,640,0.59,0.1,1.183,0.124,17.457,0,0,0,0,0,0,0,35.73,0,0,0,0,0,0,0,0,0,2.067,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9.4,43.07,114,0,0,0,0,0,0,0,0
32,310,0,7,640,0.6,0.1,1.2158,0.124,17.366,0,0,0,0,0,0,0,29.23,0,0,0,0,0,0,0,0,0,2.124,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10.3,42.61,112,0,0,0,0,0,0,0,0
33,310,0,50,640,0.55,1,1.2631,0.124,17.274,0,0,0,0,0,0,0,32.48,0,0,0,0,0,0,0,0,0,2.207,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,11.9,44.48,110,0,0,0,0,0,0,0,0
34,310,0,60,640,0.6,1,1.1903,0.124,17.183,0,0,0,0,0,0,0,32.48,0,0,0,0,0,0,0,0,0,2.08,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9.5,40.85,101,0,0,0,0,0,0,0,0
35,310,0,70,640,0.58,0.1,1.1866,0.124,17.091,0,0,0,0,0,0,0,12.99,0,0,0,0,0,0,0,0,0,2.073,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9.8,40.62,117,0,0,0,0,0,0,0,0
36,310,0,80,640,0.6,0.5,1.0993,0.124,17,0,0,0,0,0,0,0,29.23,0,0,0,0,0,0,0,0,0,1.921,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9.8,40.66,118,0,0,0,0,0,0,0,0
37,310,0,50,640,0.61,0.5,1.1612,0.124,17.057,0,0,0,0,0,0,0,23.06,0,0,0,0,0,0,0,0,0,2.029,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,9.4,42.62,110,0,0,0,0,0,0,0,0
38,310,0,30,640,0.58,0.1,1.2813,0.124,17.114,0,0,0,0,0,0,0,38.98,0,0,0,0,0,0,0,0,0,2.239,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,10.9,41.8,110,0,0,0,0,0,0,0,0
39,310,0,30,640,0.57,2,1.2849,0.124,17.171,0,0,0,0,0,0,0,38.98,0,0,0,0,0,0,0,0,0,2.245,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,10.3,40.77,104,0,0,0,0,0,0,0,0
40,310,0,70,640,0.61,1,1.3068,0.124,17.229,0,0,0,0,0,0,0,32.48,0,0,0,0,0,0,0,0,0,2.283,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,9.9,41.21,108,0,0,0,0,0,0,0,0
41,310,0,55.7,640,0.61,0.1,1.2303,0.124,17.286,0,0,0,0,0,0,0,32.48,0,0,0,0,0,0,0,0,0,2.15,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,10.9,41.56,109,0,0,0,0,0,0,0,0
42,310,0,41.3,640,0.58,0.1,1.1648,0.124,17.343,0,0,0,0,0,0,0,12.99,0,0,0,0,0,0,0,0,0,2.035,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,10.4,42.57,119,0,0,0,0,0,0,0,0
43,310,0,27,640,0.59,2,1.1466,0.124,17.4,0,0,0,0,0,0,0,34.43,0,0,0,0,0,0,0,0,0,2.003,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,10.2,43.56,124,0,0,0,0,0,0,0,0
44,310,0,30,640,0.6,1,1.223,0.124,17.357,0,0,0,0,0,0,0,32.48,0,0,0,0,0,0,0,0,0,2.137,0,0,0,0,0,0,0,0,0,1.171,0,0,0,0,0,0,0,0,0,9.5,43.92,115,0,0,0,0,0,0,0,0
45,310,0,50,640,0.61,1,1.274,0.124,17.314,0,0,0,0,0,0,0,29.23,0,0,0,0,0,0,0,0,0,2.226,0,0,0,0,0,0,0,0,0,1.043,0,0,0,0,0,0,0,0,0,9,34.69,110,0,0,0,0,0,0,0,0
46,310,0,22,640,0.63,1,1.325,0.124,17.271,0,0,0,0,0,0,0,29.23,0,0,0,0,0,0,0,0,0,2.315,0,0,0,0,0,0,0,0,0,0.914,0,0,0,0,0,0,0,0,0,9.6,39.78,105,0,0,0,0,0,0,0,0
47,310,0,30,640,0.62,1,1.2995,0.124,17.229,0,0,0,0,0,0,0,35.73,0,0,0,0,0,0,0,0,0,2.271,0,0,0,0,0,0,0,0,0,0.786,0,0,0,0,0,0,0,0,0,9.5,41.19,106,0,0,0,0,0,0,0,0
48,310,0,27.7,640,0.6,1,1.2558,0.124,17.186,0,0,0,0,0,0,0,32.48,0,0,0,0,0,0,0,0,0,2.194,0,0,0,0,0,0,0,0,0,0.657,0,0,0,0,0,0,0,0,0,9.6,40.02,109,0,0,0,0,0,0,0,0
49,310,0,25.3,640,0.63,0.1,1.1757,0.124,17.143,0,0,0,0,0,0,0,35.73,0,0,0,0,0,0,0,0,0,2.054,0,0,0,0,0,0,0,0,0,0.529,0,0,0,0,0,0,0,0,0,7.4,41.57,116,0,0,0,0,0,0,0,0
50,310,0,23,640,0.59,1.5,1.1502,0.124,17.1,0,0,0,0,0,0,0,30.53,0,0,0,0,0,0,0,0,0,2.01,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,9.9,42.6,117,0,0,0,0,0,0,0,0
51,310,0,11,640,0.65,0.1,1.052,0.124,16.971,0,0,0,0,0,0,0,25.01,0,0,0,0,0,0,0,0,0,1.838,0,0,0,0,0,0,0,0,0,0.757,0,0,0,0,0,0,0,0,0,10.1,42.67,118,0,0,0,0,0,0,0,0
52,310,0,13,640,0.6,0.1,1.1612,0.124,16.843,0,0,0,0,0,0,0,19.49,0,0,0,0,0,0,0,0,0,2.029,0,0,0,0,0,0,0,0,0,1.114,0,0,0,0,0,0,0,0,0,9.1,40.03,107,0,0,0,0,0,0,0,0
53,310,0,17,640,0.64,0.1,1.1211,0.124,16.714,0,0,0,0,0,0,0,25.98,0,0,0,0,0,0,0,0,0,1.959,0,0,0,0,0,0,0,0,0,1.471,0,0,0,0,0,0,0,0,0,10.7,34.74,96,0,0,0,0,0,0,0,0
54,310,0,11,640,0.63,1,1.1466,0.124,16.586,0,0,0,0,0,0,0,29.23,0,0,0,0,0,0,0,0,0,2.003,0,0,0,0,0,0,0,0,0,1.829,0,0,0,0,0,0,0,0,0,10.7,33.73,98,0,0,0,0,0,0,0,0
55,310,0,15,640,0.6,0.1,1.1866,0.124,16.457,0,0,0,0,0,0,0,22.74,0,0,0,0,0,0,0,0,0,2.073,0,0,0,0,0,0,0,0,0,2.186,0,0,0,0,0,0,0,0,0,10.2,38.77,99,0,0,0,0,0,0,0,0
56,310,0,19,640,0.61,0.1,1.1357,0.124,16.329,0,0,0,0,0,0,0,25.98,0,0,0,0,0,0,0,0,0,1.984,0,0,0,0,0,0,0,0,0,2.543,0,0,0,0,0,0,0,0,0,9.7,41.17,111,0,0,0,0,0,0,0,0
57,310,0,23,640,0.58,1,1.1175,0.124,16.2,0,0,0,0,0,0,0,22.74,0,0,0,0,0,0,0,0,0,1.953,0,0,0,0,0,0,0,0,0,2.9,0,0,0,0,0,0,0,0,0,10.1,43.62,118,0,0,0,0,0,0,0,0
58,310,0,13,640,0.64,0.1,1.1539,0.124,16.186,0,0,0,0,0,0,0,25.98,0,0,0,0,0,0,0,0,0,2.016,0,0,0,0,0,0,0,0,0,3.226,0,0,0,0,0,0,0,0,0,9.5,43.2,120,0,0,0,0,0,0,0,0
59,310,0,17,640,0.62,0.5,1.2158,0.14,16.171,0,0,0,0,0,0,0,32.48,0,0,0,0,0,0,0,0,0,2.124,0,0,0,0,0,0,0,0,0,3.551,0,0,0,0,0,0,0,0,0,10.3,41.01,109,0,0,0,0,0,0,0,0
60,310,0,4,640,0.6,0.1,1.2522,0.124,16.157,0,0,0,0,0,0,0,32.48,0,0,0,0,0,0,0,0,0,2.188,0,0,0,0,0,0,0,0,0,3.877,0,0,0,0,0,0,0,0,0,11.7,40.15,105,0,0,0,0,0,0,0,0
61,310,0,11,640,0.56,1,1.0993,0.06,16.143,0,0,0,0,0,0,0,22.74,0,0,0,0,0,0,0,0,0,1.921,0,0,0,0,0,0,0,0,0,4.203,0,0,0,0,0,0,0,0,0,10.8,36.74,93,0,0,0,0,0,0,0,0
62,310,0,24,640,0.64,0.1,1.0847,0.124,16.129,0,0,0,0,0,0,0,22.74,0,0,0,0,0,0,0,0,0,1.895,0,0,0,0,0,0,0,0,0,4.529,0,0,0,0,0,0,0,0,0,9.4,38.2,97,0,0,0,0,0,0,0,0
63,310,0,37,640,0.64,0.5,1.0447,0.124,16.114,0,0,0,0,0,0,0,29.23,0,0,0,0,0,0,0,0,0,1.825,0,0,0,0,0,0,0,0,0,4.854,0,0,0,0,0,0,0,0,0,9.5,41.38,115,0,0,0,0,0,0,0,0
64,310,0,50,640,0.6,1,1.0629,0.124,16.1,0,0,0,0,0,0,0,22.74,0,0,0,0,0,0,0,0,0,1.857,0,0,0,0,0,0,0,0,0,5.18,0,0,0,0,0,0,0,0,0,8.8,44.07,125,0,0,0,0,0,0,0,0
65,310,0,22,640,0.63,0.1,1.143,0.124,15.671,0,0,0,0,0,0,0,21.11,0,0,0,0,0,0,0,0,0,1.997,0,0,0,0,0,0,0,0,0,5.309,0,0,0,0,0,0,0,0,0,8.8,41.96,115,0,0,0,0,0,0,0,0
66,310,0,8,640,0.61,0.1,1.183,0.124,15.243,0,0,0,0,0,0,0,20.46,0,0,0,0,0,0,0,0,0,2.067,0,0,0,0,0,0,0,0,0,5.437,0,0,0,0,0,0,0,0,0,10.8,41.25,112,0,0,0,0,0,0,0,0
67,310,0,23,640,0.6,3,1.143,0.124,14.814,0,0,0,0,0,0,0,25.98,0,0,0,0,0,0,0,0,0,1.997,0,0,0,0,0,0,0,0,0,5.566,0,0,0,0,0,0,0,0,0,11.2,43.51,113,0,0,0,0,0,0,0,0
68,310,0,17,640,0.64,1,0.9719,0.07,14.386,0,0,0,0,0,0,0,32.48,0,0,0,0,0,0,0,0,0,1.698,0,0,0,0,0,0,0,0,0,5.694,0,0,0,0,0,0,0,0,0,11.3,42.74,110,0,0,0,0,0,0,0,0
69,310,0,18.7,640,0.63,1.5,1.0702,0.124,13.957,0,0,0,0,0,0,0,19.49,0,0,0,0,0,0,0,0,0,1.87,0,0,0,0,0,0,0,0,0,5.823,0,0,0,0,0,0,0,0,0,9.3,46.13,125,0,0,0,0,0,0,0,0
70,310,0,20.3,640,0.55,1,0.9828,0.124,13.529,0,0,0,0,0,0,0,29.23,0,0,0,0,0,0,0,0,0,1.717,0,0,0,0,0,0,0,0,0,5.951,0,0,0,0,0,0,0,0,0,10.9,48.93,138,0,0,0,0,0,0,0,0
71,310,0,22,640,0.58,14,1.0156,0.124,13.1,0,0,0,0,0,0,0,95.82,0,0,0,0,0,0,0,0,0,1.774,0,0,0,0,0,0,0,0,0,6.08,0,0,0,0,0,0,0,0,0,9.2,49.51,140,0,0,0,0,0,0,0,0
72,310,0,240,640,0.52,12,1.3614,0.196,13.229,0,0,0,0,0,0,0,86.72,0,0,0,0,0,0,0,0,0,2.379,0,0,0,0,0,0,0,0,0,5.251,0,0,0,0,0,0,0,0,0,9.2,48.57,137,0,0,0,0,0,0,0,0
73,310,0,40,640,0.54,0.1,1.0483,0.124,13.357,0,0,0,0,0,0,0,19.49,0,0,0,0,0,0,0,0,0,1.832,0,0,0,0,0,0,0,0,0,4.423,0,0,0,0,0,0,0,0,0,9.1,44.62,125,0,0,0,0,0,0,0,0
74,310,0,23,640,0.55,0.5,1.1575,0.244,13.486,0,0,0,0,0,0,0,42.22,0,0,0,0,0,0,0,0,0,2.022,0,0,0,0,0,0,0,0,0,3.594,0,0,0,0,0,0,0,0,0,9.1,47.1,126,0,0,0,0,0,0,0,0
75,310,0,22,640,0.54,0.1,1.1393,0.073,13.614,0,0,0,0,0,0,0,34.43,0,0,0,0,0,0,0,0,0,1.991,0,0,0,0,0,0,0,0,0,2.766,0,0,0,0,0,0,0,0,0,9.5,43.33,115,0,0,0,0,0,0,0,0
76,310,0,22.3,640,0.59,1,1.1066,0.124,13.743,0,0,0,0,0,0,0,16.24,0,0,0,0,0,0,0,0,0,1.933,0,0,0,0,0,0,0,0,0,1.937,0,0,0,0,0,0,0,0,0,9.1,39.72,110,0,0,0,0,0,0,0,0
77,310,0,22.7,640,0.62,0.1,1.041,0.124,13.871,0,0,0,0,0,0,0,19.49,0,0,0,0,0,0,0,0,0,1.819,0,0,0,0,0,0,0,0,0,1.109,0,0,0,0,0,0,0,0,0,9.6,41.23,119,0,0,0,0,0,0,0,0
78,310,0,23,640,0.58,1,1.0156,0.124,14,0,0,0,0,0,0,0,26.31,0,0,0,0,0,0,0,0,0,1.774,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,9.5,42.69,127,0,0,0,0,0,0,0,0
79,310,0,17,640,0.59,0.1,1.1757,0.124,14.086,0,0,0,0,0,0,0,25.66,0,0,0,0,0,0,0,0,0,2.054,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0,9.6,41.79,120,0,0,0,0,0,0,0,0
80,310,0,23,640,0.61,1,1.234,0.124,14.171,0,0,0,0,0,0,0,22.74,0,0,0,0,0,0,0,0,0,2.156,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,8.7,41.25,114,0,0,0,0,0,0,0,0
81,310,0,11,640,0.61,1,1.2522,0.124,14.257,0,0,0,0,0,0,0,25.98,0,0,0,0,0,0,0,0,0,2.188,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,9.8,40.4,108,0,0,0,0,0,0,0,0
82,310,0,23,640,0.73,0.1,1.2849,0.124,14.343,0,0,0,0,0,0,0,21.76,0,0,0,0,0,0,0,0,0,2.245,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,9,40.67,107,0,0,0,0,0,0,0,0
83,310,0,25.3,640,0.71,0.1,1.2558,0.124,14.429,0,0,0,0,0,0,0,25.98,0,0,0,0,0,0,0,0,0,2.194,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,9.4,38.82,104,0,0,0,0,0,0,0,0
84,310,0,27.7,640,0.71,0.1,0.961,0.124,14.514,0,0,0,0,0,0,0,29.23,0,0,0,0,0,0,0,0,0,1.679,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,9.1,46.11,123,0,0,0,0,0,0,0,0
85,310,0,30,640,0.62,0.5,1.0847,0.198,14.6,0,0,0,0,0,0,0,30.86,0,0,0,0,0,0,0,0,0,1.895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.6,42.19,117,0,0,0,0,0,0,0,0
86,310,0,7,640,0.59,0.5,1.1066,0.192,14.814,0,0,0,0,0,0,0,16.24,0,0,0,0,0,0,0,0,0,1.933,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,9.8,44.54,119,0,0,0,0,0,0,0,0
87,310,0,4,640,0.6,1,0.9464,0.124,15.029,0,0,0,0,0,0,0,16.24,0,0,0,0,0,0,0,0,0,1.654,0,0,0,0,0,0,0,0,0,0.42,0,0,0,0,0,0,0,0,0,9.7,39.54,99,0,0,0,0,0,0,0,0
88,310,0,2,640,0.57,1.5,0.1747,0.144,15.243,0,0,0,0,0,0,0,16.24,0,0,0,0,0,0,0,0,0,0.305,0,0,0,0,0,0,0,0,0,0.63,0,0,0,0,0,0,0,0,0,10.6,33.8,73,0,0,0,0,0,0,0,0
89,310,0,4,640,0.59,1,0.1056,1.06,15.457,0,0,0,0,0,0,0,19.49,0,0,0,0,0,0,0,0,0,0.184,0,0,0,0,0,0,0,0,0,0.84,0,0,0,0,0,0,0,0,0,9.7,31.31,69,0,0,0,0,0,0,0,0
